voice,ticker,action,conviction,confidence,horizon,thesis
valuation,SHB-A.ST,SELL,6,Medium,Medium,"PEG 18.85 with revenue -3.8% YoY while the stock sits at 94% of its 52-week range (98.7% of the 52-week high) - priced like a grower it is not. The stated 'good upside' has been collected."
growth,AVGO,BUY,7,Medium,Medium,"85.5% revenue growth on a 24.4% 3y CAGR, PEG 0.36, forward P/E 18.67 against trailing 46.05, 54.3% operating margin, at 35% of its 52-week range. It screen-FAILs only on the trailing multiple, which is the wrong test here."
growth,NVDA,BUY,7,Medium,Medium,"105.9% revenue growth on a 100% 3y CAGR, PEG 0.46, forward P/E 14.02 vs trailing 27.63. Named gap: no earnings-revision or TAM data exists in this system, so this is measured growth only - nothing here says the rate is sustainable."
growth,APP,BUY,7,Low,Medium,"52.8% revenue growth on a 24.8% 3y CAGR, PEG 0.70, forward P/E 15.44 vs trailing 24.88 - and trading at 4% of its 52-week range. A compounder priced near its low is the most interesting setup in the set; the range endpoints are not fetched."
growth,TSM,BUY,7,Medium,Long,"36% revenue growth on an 18.9% 3y CAGR with PEG 0.82 and forward P/E 19.76 vs trailing 31.95, on 60.3% operating margin. Growth that is already converting to margin, not promised margin."
growth,SHB-A.ST,SELL,6,Medium,Medium,"z_growth -1.268, the worst growth score of any holding. Revenue -3.8% YoY with a 4.2% 3y CAGR and PEG 18.85 - there is no growth here to be underestimated."
defensive,VRTX,BUY,7,Medium,Long,"Beta 0.32, net cash (net debt/EBITDA -1.15), D/E 9.77, 35.0% net / 38.1% operating margin, 12.5% revenue growth. The cleanest downside-scenario balance sheet in the focus set - it needs no capital market to stay solvent."
defensive,CME,BUY,7,Medium,Medium,"Beta 0.275, net debt/EBITDA 0.33, D/E 14.6, 63.4% net / 65.0% operating margin. Exchange revenue rises with volatility, so it is one of the few businesses that earns more in a drawdown - and VIX at 17.84 means you buy that optionality cheap."
defensive,EG,BUY,6,Low,Medium,"Beta 0.277, D/E 23.26, forward P/E 6.22, FCF yield 14.49%. A reinsurer earning on float with the curve at +0.39 and the 2y at 4.56%. Revenue -11.3% may be underwriting discipline rather than distress - not verifiable from fetched data."
defensive,MO,BUY,5,Low,Medium,"Beta 0.494, 6.44% dividend, FCF yield 7.83%, 76.1% operating margin, net debt/EBITDA 1.41. Biggest rank move in the set (24 to 12). Held to 5: debt_to_equity is MISSING (negative equity) and revenue 3y CAGR is -0.9% - defensive income on a melting top line."
defensive,VOLV-B.ST,SELL,6,Medium,Medium,"D/E 147.3 and net debt/EBITDA 3.8 are the highest leverage of any holding, on the thinnest net margin (7.6%), in a cyclical facing a +1.45% Swedish real policy rate. Overruled by the Chairman to HOLD on improving thesis metrics."
contrarian,VICI,BUY,7,Medium,Medium,"At 1% of its 52-week range while revenue grows 5.7% on a 15.5% 3y CAGR at 70.2% operating margin. The rent is contracted and compounding; the price says it is not. The de-rating is about the discount rate, not the cash flows."
contrarian,FIS,BUY,6,Low,Medium,"At 2% of its 52-week range after -9.9% in one week, P/E 5.86, FCF yield 13.49%. Payments processors de-rated as a group (FISV also at 2% of range). A 13.5% FCF yield is not what a structurally broken business generates. The week's drop has no explanation in fetched data."
contrarian,LULU,BUY,5,Low,Medium,"First appearance in the candidate set. At 1% of its 52-week range with ROE 30.9%, FCF yield 10.48% and net debt/EBITDA 0.32 - a damaged brand with no debt has time to fix itself. Against it: forward P/E 10.92 above trailing 8.15 says the market expects earnings to fall."
macro,AZN.ST,BUY,6,Medium,Long,"The only holding whose macro driver differs from the Nordic industrial/financial sleeve that Sweden's +1.45% real policy rate argues against. UK-domiciled, SEK-quoted, healthcare - no direct wrong-side call from this regime data."
macro,EG,BUY,6,Low,Medium,"A reinsurer with beta 0.277 in a regime where cash is genuinely rewarded and the curve is positively sloped (+0.39, 2y at 4.56%) - the short-dated investment book reprices upward. Named gap: no credit-spread data is fetched."
macro,CME,BUY,6,Low,Medium,"VIX at 17.84 is calm and CME's revenue growth is 0.8% - you are buying a volatility-linked business at a cyclical low in volatility, with FOMC 09/15-16 and Riksbank 09/24 both inside ten days. Specific asymmetry, not a general defensive call."
macro,ABB.ST,SELL,6,Medium,Medium,"The most expensive name in a Nordic industrial sleeve that is 55.1% of the identifiable single-stock equity, facing Sweden's +1.45% real policy rate (1.75% vs SE CPI 0.3%) - materially tighter than the US read. Downgraded on regime grounds explicitly."
copycat,INVE-A.ST,BUY,6,Medium,Long,"Seven insiders buying across seven months at monotonically rising prices (338.38 to 411.55 SEK), zero disposals - most recently Jacob Lund, 1,000 A-shares at 399.13 on 2026-09-09, within 0.1% of today's price. Varied dates/sizes/prices, so not compensation-shaped."
copycat,SHB-A.ST,BUY,5,Low,Medium,"Chairman Par Boman filed ten acquisitions on 2026-08-26 totalling 1,850,000 A-shares at 145.55-146.24 SEK, ~270M SEK, today's price 2.4-2.9% above. This is a vote against the open SELL more than for adding capital: all ten are 'closely associated', i.e. entity-level, not personal."
copycat,ABB.ST,SELL,7,Medium,Medium,"Terwiesch disposed 48,799 shares across 07/29-08/13 and Meline 2,456 on 08/05 - ~51,255 shares. The only acquisitions are six board members buying 917-1,948 shares each on 2026-05-04 at the identical 78.42 CHF, which is a fee allotment, not conviction."
chairman,ABB.ST,SELL,7,Medium,Medium,"Fourth consecutive sweep. Forward P/E flat vs trailing despite 14.2% growth (Valuation), ~51,255 shares of insider disposal vs a routine board allotment (Copycat), thinnest FCF conversion of any holding, thesis-review independently BROKEN. Defensive's dissent is correct but is about risk, not price."
chairman,VICI,BUY,6,Medium,Medium,"Cheap on every price measure at the 52-week low with contracted revenue still compounding, and the only Top-5 name answering both ACT concentrations (Industrials 55.1%, Sweden 50.2%). Macro dissents at 4 on rate sensitivity. Funded only by the ABB sale - no idle capital (ISK cash 845.43 SEK)."
chairman,SHB-A.ST,NO_ACTION,6,High,Short,"Open SELL from 2026-08-31 formally retired. Valuation's bearish read (PEG 18.85, revenue -3.8%, 98.7% of 52w high) is correct and Copycat's 1.85M-share counter-evidence is unresolvable - but the position is one share, 149.75 SEK, 0.07% of the book. It cannot move anything either way."
chairman,APP,HOLD-WATCH,5,Low,Medium,"Rank 1 of 614 for four consecutive runs on the best quality profile in the set (ROIC 65.5%, 77.7% op margin, PEG 0.70). Blocked by beta 2.488 into an untested -30% drawdown tolerance (S26), zero insider coverage, and no 52-week endpoints to interpret '4% of range'. Promote to watchlist."
chairman,AZN.ST,BUY,6,Medium,Long,"The only holding thesis-review answers YES on for 'would I buy today': PEG improved 1.33 to 1.14, 31% of 52-week range, margins and dividend intact, none of the three recorded key_risks triggered. Execution note: no idle capital - ISK cash 845.43 SEK vs a 1,541 SEK share price, blocked on P3."
